Col_num,ques_seq_no,field_name,ques_desc,data_type,resp_seq_no,resp_desc
1,1,F1e1,Timepoint of follow-up,List,1,12 months
1,1,F1e1,Timepoint of follow-up,List,2,24 months
1,1,F1e1,Timepoint of follow-up,List,3,Other
2,2,F1e2,specify other follow-up timepoint,Char(80),,$F200.
3,3,F1e3,date of follow-up contact,YYYY,,best4.
4,3,F1e3d,Days from Base_dt to date of follow-up contact,#,,best8.
5,4,F1e4,Participant's status,List,1,Alive
5,4,F1e4,Participant's status,List,2,Dead
5,4,F1e4,Participant's status,List,3,Lost to follow-up; unable to contact
6,5,F1e5,date of death,YYYY,,best4.
7,5,F1e5d,Days from Base_dt to date of death,#,,best8.
8,6,F1e6,date of last contact,YYYY,,best4.
9,6,F1e6d,Days from Base_dt to date of last contact,#,,best8.
10,7,F1e7,Was a CBE performed of study breast within past 12 months?,List,1,No
10,7,F1e7,Was a CBE performed of study breast within past 12 months?,List,2,Yes
10,7,F1e7,Was a CBE performed of study breast within past 12 months?,List,99,Unknown
11,8,F1e8,provide reason CBE not done,List,1,Patient missed appointment
11,8,F1e8,provide reason CBE not done,List,2,Patient unable to be located
11,8,F1e8,provide reason CBE not done,List,3,Patient pregnant or lactating
11,8,F1e8,provide reason CBE not done,List,4,Patient refusal
11,8,F1e8,provide reason CBE not done,List,5,Referring physician's choice
11,8,F1e8,provide reason CBE not done,List,6,Expired
11,8,F1e8,provide reason CBE not done,List,7,"Other, specify"
12,9,F1e9,specify other reason CBE not done,Char(80),,$F200.
13,10,F1e10,date of follow-up clinical breast exam,YYYY,,best4.
14,10,F1e10d,Days from Base_dt to date of follow-up clinical breast exam,#,,best8.
15,11,F1e11,specify findings of CBE,List,1,Negative; benign
15,11,F1e11,specify findings of CBE,List,2,Abnormal CBE requiring further evaluation
16,12,F1e12,Was a follow-up mammogram done of study breast in past 12 months?,List,1,No
16,12,F1e12,Was a follow-up mammogram done of study breast in past 12 months?,List,2,"Yes, not previously reported"
16,12,F1e12,Was a follow-up mammogram done of study breast in past 12 months?,List,3,"Yes, previously reported"
16,12,F1e12,Was a follow-up mammogram done of study breast in past 12 months?,List,99,Unknown
17,13,F1e13,provide reason mammogram not done,List,1,Patient missed appointment
17,13,F1e13,provide reason mammogram not done,List,2,Patient unable to be located
17,13,F1e13,provide reason mammogram not done,List,3,Patient pregnant or lactating
17,13,F1e13,provide reason mammogram not done,List,4,Patient refusal
17,13,F1e13,provide reason mammogram not done,List,5,Referring physician's choice
17,13,F1e13,provide reason mammogram not done,List,6,Expired
17,13,F1e13,provide reason mammogram not done,List,7,"Other, specify"
18,14,F1e14,specify other reason mammogram not done,Char(80),,$F200.
19,15,F1e15,date of follow-up  mammogram,YYYY,,best4.
20,15,F1e15d,Days from Base_dt to date of follow-up  mammogram,#,,best8.
21,16,F1e16,mammogram findings,List,0,Category 0 - Needs additional imaging
21,16,F1e16,mammogram findings,List,1,Category 1- Negative
21,16,F1e16,mammogram findings,List,2,Category 2 - Benign Finding
21,16,F1e16,mammogram findings,List,3,Category 3 - Probably Benign Finding-Short interval follow-up suggested
21,16,F1e16,mammogram findings,List,4,Category 4 - Suspicious Abnormality - Biopsy should be considered
21,16,F1e16,mammogram findings,List,5,Category 5 - Highly Suggestive of Malignancy-Appropriate action should be taken
22,17,F1e17,Was follow-up ultrasound done of study breast within past 12 months?,List,1,No
22,17,F1e17,Was follow-up ultrasound done of study breast within past 12 months?,List,2,"Yes, not previously reported"
22,17,F1e17,Was follow-up ultrasound done of study breast within past 12 months?,List,3,"Yes, previously reported"
22,17,F1e17,Was follow-up ultrasound done of study breast within past 12 months?,List,99,Unknown
23,18,F1e18,provide reason ultrasound not done,List,1,Patient missed appointment
23,18,F1e18,provide reason ultrasound not done,List,2,Patient unable to be located
23,18,F1e18,provide reason ultrasound not done,List,3,Patient pregnant or lactating
23,18,F1e18,provide reason ultrasound not done,List,4,Patient refusal
23,18,F1e18,provide reason ultrasound not done,List,5,Referring physician's choice
23,18,F1e18,provide reason ultrasound not done,List,6,Expired
23,18,F1e18,provide reason ultrasound not done,List,7,"Other, specify"
24,19,F1e19,specify other reason ultrasound not done,Char(80),,$F200.
25,20,F1e20,date of follow-up ultrasound,YYYY,,best4.
26,20,F1e20d,Days from Base_dt to date of follow-up ultrasound,#,,best8.
27,21,F1e21,ultrasound findings,List,0,Category 0 - Needs additional imaging
27,21,F1e21,ultrasound findings,List,1,Category 1- Negative
27,21,F1e21,ultrasound findings,List,2,Category 2 - Benign Finding
27,21,F1e21,ultrasound findings,List,3,Category 3 - Probably Benign Finding-Short interval follow-up suggested
27,21,F1e21,ultrasound findings,List,4,Category 4 - Suspicious Abnormality - Biopsy should be considered
27,21,F1e21,ultrasound findings,List,5,Category 5 - Highly Suggestive of Malignancy-Appropriate action should be taken
28,22,F1e22,Was follow-up MRI performed of study breast within past 12 months?,List,1,No
28,22,F1e22,Was follow-up MRI performed of study breast within past 12 months?,List,2,"Yes, not previously reported"
28,22,F1e22,Was follow-up MRI performed of study breast within past 12 months?,List,3,"Yes, previously reported"
28,22,F1e22,Was follow-up MRI performed of study breast within past 12 months?,List,99,Unknown
29,23,F1e23,provide reason MRI not done,List,1,Patient missed appointment
29,23,F1e23,provide reason MRI not done,List,2,Patient unable to be located
