Col_num,ques_seq_no,field_name,ques_desc,data_type,resp_seq_no,resp_desc
1,1,Ise1,DATE OF ULTRASOUND,YYYY,,best4.
2,1,Ise1d,Days from Base_dt to DATE OF ULTRASOUND,#,,best8.
3,2,Ise2,DATE ULTRASOUND READ,YYYY,,best4.
4,2,Ise2d,Days from Base_dt to DATE ULTRASOUND READ,#,,best8.
5,4,Ise4,MASS/LESION VISIBLE BY ULTRASOUND,List,1,No
5,4,Ise4,MASS/LESION VISIBLE BY ULTRASOUND,List,2,Yes
5,4,Ise4,MASS/LESION VISIBLE BY ULTRASOUND,List,98,Not applicable
6,5,Ise5,LOCATION OF ENHANCEMENT/LESION,List,1,Right breast
6,5,Ise5,LOCATION OF ENHANCEMENT/LESION,List,2,Left breast
7,6,Ise6,TOTAL NUMBER OF LESIONS VISIBLE ON MRI,#,,BEST32.
8,7,Ise7,TOTAL NUMBER OF MR LESIONS VISIBLE ON ULTRASOUND,#,,BEST32.
9,8,Ise8,TOTAL NUMBER OF LESIONS VISIBLE ON ULTRASOUND,#,,BEST32.
10,9,Ise9,DATA RECORDED REPRESENT LESION #,#,,BEST32.
11,10,Ise10,CHARACTERIZATION OF LESION:  MASS,List,1,No
11,10,Ise10,CHARACTERIZATION OF LESION:  MASS,List,2,Yes
12,11,Ise11,CHARACTERIZATION OF LESION:  SHAPE,List,1,Oval
12,11,Ise11,CHARACTERIZATION OF LESION:  SHAPE,List,2,Round
12,11,Ise11,CHARACTERIZATION OF LESION:  SHAPE,List,3,Irregular
13,12,Ise12,MASS ORIENTATION,List,1,Not parallel
13,12,Ise12,MASS ORIENTATION,List,2,Parallel
14,13,Ise13,CHARACTERIZATION OF LESION:  MARGINS,List,1,"Circumscribed, thin rim or no perceptible rim"
14,13,Ise13,CHARACTERIZATION OF LESION:  MARGINS,List,2,"Circumscribed, thick rim"
14,13,Ise13,CHARACTERIZATION OF LESION:  MARGINS,List,3,Irregular
15,14,Ise14,MASS 1 - MARGINS - INDISTINCT,List,1,No
15,14,Ise14,MASS 1 - MARGINS - INDISTINCT,List,2,Yes
16,15,Ise15,MARGINS - ANGULAR,List,1,No
16,15,Ise15,MARGINS - ANGULAR,List,2,Yes
17,16,Ise16,MASS 1 - MARGINS - MICROLOBULATED,List,1,No
17,16,Ise16,MASS 1 - MARGINS - MICROLOBULATED,List,2,Yes
18,17,Ise17,MARGINS - SPICULATED / STELLATE,List,1,No
18,17,Ise17,MARGINS - SPICULATED / STELLATE,List,2,Yes
19,18,Ise18,MASS POSTERIOR ACOUSTIC FEATURES,List,1,None
19,18,Ise18,MASS POSTERIOR ACOUSTIC FEATURES,List,2,Enhancement
19,18,Ise18,MASS POSTERIOR ACOUSTIC FEATURES,List,3,Shadowing
19,18,Ise18,MASS POSTERIOR ACOUSTIC FEATURES,List,4,Combined pattern
20,19,Ise19,MASS SURROUNDING TISSUE,List,1,No effect
20,19,Ise19,MASS SURROUNDING TISSUE,List,2,Identifiable effect
21,20,Ise20,IDENTIFIABLE EFFECT:  DUCT CHANGES,List,1,No
21,20,Ise20,IDENTIFIABLE EFFECT:  DUCT CHANGES,List,2,Yes
22,21,Ise21,IDENTIFIABLE EFFECT:  COOPER'S LIGAMENT CHANGES,List,1,No
22,21,Ise21,IDENTIFIABLE EFFECT:  COOPER'S LIGAMENT CHANGES,List,2,Yes
23,22,Ise22,IDENTIFIABLE EFFECT:  EDEMA,List,1,No
23,22,Ise22,IDENTIFIABLE EFFECT:  EDEMA,List,2,Yes
24,23,Ise23,IDENTIFIABLE EFFECT:  ARCHITECTURAL DISTORTION,List,1,No
24,23,Ise23,IDENTIFIABLE EFFECT:  ARCHITECTURAL DISTORTION,List,2,Yes
25,24,Ise24,IDENTIFIABLE EFFECT:  SKIN THICKENING,List,1,No
25,24,Ise24,IDENTIFIABLE EFFECT:  SKIN THICKENING,List,2,Yes
26,25,Ise25,IDENTIFIABLE EFFECT:  SKIN RETRACTION / IRREGULARITY,List,1,No
26,25,Ise25,IDENTIFIABLE EFFECT:  SKIN RETRACTION / IRREGULARITY,List,2,Yes
27,26,Ise26,IDENTIFIABLE EFFECT:  PECTORAL MUSCLE SEEN-PLANE W/ANT TISSUE UNCLEAR,List,1,No
27,26,Ise26,IDENTIFIABLE EFFECT:  PECTORAL MUSCLE SEEN-PLANE W/ANT TISSUE UNCLEAR,List,2,Yes
28,27,Ise27,CALCIFICATIONS,List,1,No
28,27,Ise27,CALCIFICATIONS,List,2,Yes
29,28,Ise28,CALCIFICATION FEATURES - MACROCALCIFICATIONS,List,1,No
29,28,Ise28,CALCIFICATION FEATURES - MACROCALCIFICATIONS,List,2,Yes
30,29,Ise29,CALCIFICATION FEATURES - MICROCALCIFICATIONS OUT OF MASS,List,1,No
30,29,Ise29,CALCIFICATION FEATURES - MICROCALCIFICATIONS OUT OF MASS,List,2,Yes
31,30,Ise30,CALCIFICATION FEATURES - MICROCALCIFICATONS IN MASS,List,1,No
31,30,Ise30,CALCIFICATION FEATURES - MICROCALCIFICATONS IN MASS,List,2,Yes
32,31,Ise31,SPECIAL CASES,List,1,No
32,31,Ise31,SPECIAL CASES,List,2,Yes
33,32,Ise32,SPECIAL CASE FEATURES - MASS IN OR ON SKIN,List,1,No
33,32,Ise32,SPECIAL CASE FEATURES - MASS IN OR ON SKIN,List,2,Yes
34,33,Ise33,SPECIAL CASE FEATURES - FOREIGN BODY,List,1,No
34,33,Ise33,SPECIAL CASE FEATURES - FOREIGN BODY,List,2,Yes
35,34,Ise34,SPECIAL CASE FEATURES - INTRAMAMMARY LYMPH NODE,List,1,No
35,34,Ise34,SPECIAL CASE FEATURES - INTRAMAMMARY LYMPH NODE,List,2,Yes
36,35,Ise35,SPECIAL CASE FEATURES - LYMPH NODES - AXILLA,List,1,No
36,35,Ise35,SPECIAL CASE FEATURES - LYMPH NODES - AXILLA,List,2,Yes
37,36,Ise36,VASCULARITY,List,1,None
37,36,Ise36,VASCULARITY,List,2,Same as normal tissue
37,36,Ise36,VASCULARITY,List,3,Decreased
37,36,Ise36,VASCULARITY,List,4,Increased
37,36,Ise36,VASCULARITY,List,98,Cannot assess
38,37,Ise37,LESION LOCATION PER DIAGRAM / R0,List,1,Lesion not visible in this region
38,37,Ise37,LESION LOCATION PER DIAGRAM / R0,List,2,Lesion visible in this region
39,38,Ise38,LESION LOCATION PER DIAGRAM / R1,List,1,Lesion not visible in this region
39,38,Ise38,LESION LOCATION PER DIAGRAM / R1,List,2,Lesion visible in this region
40,39,Ise39,LESION LOCATION PER DIAGRAM / R2,List,1,Lesion not visible in this region
40,39,Ise39,LESION LOCATION PER DIAGRAM / R2,List,2,Lesion visible in this region
41,40,Ise40,LESION LOCATION PER DIAGRAM / R3,List,1,Lesion not visible in this region
41,40,Ise40,LESION LOCATION PER DIAGRAM / R3,List,2,Lesion visible in this region
42,41,Ise41,LESION LOCATION PER DIAGRAM / R4,List,1,Lesion not visible in this region
42,41,Ise41,LESION LOCATION PER DIAGRAM / R4,List,2,Lesion visible in this region
43,42,Ise42,LESION LOCATION PER DIAGRAM / R5,List,1,Lesion not visible in this region
43,42,Ise42,LESION LOCATION PER DIAGRAM / R5,List,2,Lesion visible in this region
44,43,Ise43,LESION LOCATION PER DIAGRAM / R6,List,1,Lesion not visible in this region
44,43,Ise43,LESION LOCATION PER DIAGRAM / R6,List,2,Lesion visible in this region
45,44,Ise44,LESION LOCATION PER DIAGRAM / L0,List,1,Lesion not visible in this region
45,44,Ise44,LESION LOCATION PER DIAGRAM / L0,List,2,Lesion visible in this region
46,45,Ise45,LESION LOCATION PER DIAGRAM / L1,List,1,Lesion not visible in this region
46,45,Ise45,LESION LOCATION PER DIAGRAM / L1,List,2,Lesion visible in this region
47,46,Ise46,LESION LOCATION PER DIAGRAM / L2,List,1,Lesion not visible in this region
47,46,Ise46,LESION LOCATION PER DIAGRAM / L2,List,2,Lesion visible in this region
48,47,Ise47,LESION LOCATION PER DIAGRAM / L3,List,1,Lesion not visible in this region
48,47,Ise47,LESION LOCATION PER DIAGRAM / L3,List,2,Lesion visible in this region
49,48,Ise48,LESION LOCATION PER DIAGRAM / L4,List,1,Lesion not visible in this region
49,48,Ise48,LESION LOCATION PER DIAGRAM / L4,List,2,Lesion visible in this region
