Col_num,ques_seq_no,field_name,ques_desc,data_type,resp_seq_no,resp_desc
1,3,K3e3,DATE CALLED,YYYY,,best4.
2,3,K3e3d,Days from Base_dt to DATE CALLED,#,,best8.
3,6,K3e6,SPECIFY TYPE OF EVENT,List,1,Expected adverse event
3,6,K3e6,SPECIFY TYPE OF EVENT,List,2,Unexpected adverse event
3,6,K3e6,SPECIFY TYPE OF EVENT,List,3,Report of death unrelated to protocol imaging or treatment
3,6,K3e6,SPECIFY TYPE OF EVENT,List,4,"Other, specify"
4,7,K3e7,SPECIFY OTHER,Char(80),,$F200.
5,8,K3e8,SUSPECTED RX/MODALITY(S),List,1,Imaging
5,8,K3e8,SUSPECTED RX/MODALITY(S),List,2,Protocol XRT
5,8,K3e8,SUSPECTED RX/MODALITY(S),List,3,Combined modality
5,8,K3e8,SUSPECTED RX/MODALITY(S),List,4,Investigational protocol drug only
5,8,K3e8,SUSPECTED RX/MODALITY(S),List,5,Commercial protocol drug only
5,8,K3e8,SUSPECTED RX/MODALITY(S),List,6,Radiopharmaceutical agent only
5,8,K3e8,SUSPECTED RX/MODALITY(S),List,7,Other agent
5,8,K3e8,SUSPECTED RX/MODALITY(S),List,8,Not applicable
5,8,K3e8,SUSPECTED RX/MODALITY(S),List,9,Other
6,9,K3e9,SPECIFY MODALITY,Char(80),,$F200.
7,10,K3e10,SPECIFY RADIOPHARMACEUTICAL AGENT,Char(80),,$F200.
8,11,K3e11,SPECIFY OTHER AGENT,Char(80),,$F200.
9,12,K3e12,SPECIFY OTHER RX/MODALITY,Char(80),,$F200.
10,13,K3e13,RELATIONSHIP OF IMAGING TREATMENT TO EVENT,List,1,Definitely related
10,13,K3e13,RELATIONSHIP OF IMAGING TREATMENT TO EVENT,List,2,Probably related
10,13,K3e13,RELATIONSHIP OF IMAGING TREATMENT TO EVENT,List,3,Possibly related
10,13,K3e13,RELATIONSHIP OF IMAGING TREATMENT TO EVENT,List,4,Unlikely related
10,13,K3e13,RELATIONSHIP OF IMAGING TREATMENT TO EVENT,List,5,Definitely unrelated
11,15,K3e15,SPECIFY ADVERSE EVENT OR TOXICITY,Char(80),,$F200.
12,16,K3e16,TREATMENT OUTCOME,List,1,Hospitalized
12,16,K3e16,TREATMENT OUTCOME,List,2,"Resolved, no medication"
12,16,K3e16,TREATMENT OUTCOME,List,3,"Resolved, with medication"
12,16,K3e16,TREATMENT OUTCOME,List,4,Life threatening
12,16,K3e16,TREATMENT OUTCOME,List,5,Fatal
12,16,K3e16,TREATMENT OUTCOME,List,6,"Other, specify"
13,17,K3e17,"OTHER, SPECIFY",Char(80),,$F200.
14,18,K3e18,SPECIFY ADDITIONAL NON-PROTOCOL TREATMENT,Char(80),,$F200.
15,20,K3e20,INSTRUCTIONS TO CALLER - SUBMIT DATA THROUGH CURRENT DATE,List,1,No
15,20,K3e20,INSTRUCTIONS TO CALLER - SUBMIT DATA THROUGH CURRENT DATE,List,2,Yes
16,21,K3e21,INSTRUCTIONS TO CALLER - MAIL PERTINENT INFORMATION TO HQ,List,1,No
16,21,K3e21,INSTRUCTIONS TO CALLER - MAIL PERTINENT INFORMATION TO HQ,List,2,Yes
17,22,K3e22,NUMBER OF DAYS,#,,BEST32.
18,23,K3e23,INSTRUCTIONS TO CALLER - NOTIFY IRB,List,1,No
18,23,K3e23,INSTRUCTIONS TO CALLER - NOTIFY IRB,List,2,Yes
19,24,K3e24,INSTRUCTIONS TO CALLER - SUBMIT ADEERS,List,1,Single
19,24,K3e24,INSTRUCTIONS TO CALLER - SUBMIT ADEERS,List,2,Multiple
20,25,K3e25,INSTRUCTIONS TO CALLER - TELEPHONE ACRIN GROUP/DEPUTY CHAIR,List,1,No
20,25,K3e25,INSTRUCTIONS TO CALLER - TELEPHONE ACRIN GROUP/DEPUTY CHAIR,List,2,Yes
21,26,K3e26,INSTRUCTIONS TO CALLER - TELEPHONE STUDY CHAIR,List,1,No
21,26,K3e26,INSTRUCTIONS TO CALLER - TELEPHONE STUDY CHAIR,List,2,Yes
