Col_num,ques_seq_no,field_name,ques_desc,data_type,resp_seq_no,resp_desc
1,1,M4e1,MRI done,List,1,No
1,1,M4e1,MRI done,List,2,Yes
2,2,M4e2,TIMEPOINT OF FOLLOW-UP,List,1,Immediate
2,2,M4e2,TIMEPOINT OF FOLLOW-UP,List,2,3 months
2,2,M4e2,TIMEPOINT OF FOLLOW-UP,List,3,6 months
2,2,M4e2,TIMEPOINT OF FOLLOW-UP,List,4,"Other, specify"
3,3,M4e3,SPECIFY OTHER,Char(80),,$F200.
4,4,M4e4,DATE OF MRI SCAN,YYYY,,best4.
5,4,M4e4d,Days from Base_dt to DATE OF MRI SCAN,#,,best8.
6,5,M4e5,INTERPRETATION DATE - MRI,YYYY,,best4.
7,5,M4e5d,Days from Base_dt to INTERPRETATION DATE - MRI,#,,best8.
8,6,M4e6deid,De-identified Reader ID,Char(8),,$F8.
9,7,M4e7,TOTAL NUMBER OF FINDINGS,#,,BEST32.
10,8,M4e8,FINDING NUMBER,#,,BEST32.
11,9,M4e9,FINDING TYPE,List,1,Focus/foci = < 5 mm
11,9,M4e9,FINDING TYPE,List,2,Mass
11,9,M4e9,FINDING TYPE,List,3,Non mass enhancement
12,10,M4e10,LESION MEASUREMENT):  X DIMENSION (MED-LAT),#,,BEST32.
13,11,M4e11,LESION MEASUREMENT:  Y DIMENSION (SUP-INF),#,,BEST32.
14,12,M4e12,LESION MEASUREMENT:  Z DIMENSION (ANT-POST),#,,BEST32.
15,13,M4e13,CHARACTERIZATION OF LESION:  SHAPE,List,1,Round
15,13,M4e13,CHARACTERIZATION OF LESION:  SHAPE,List,2,Oval
15,13,M4e13,CHARACTERIZATION OF LESION:  SHAPE,List,3,Lobulated
15,13,M4e13,CHARACTERIZATION OF LESION:  SHAPE,List,4,Irregular
16,14,M4e14,CHARACTERIZATION OF MASS:  MARGIN,List,1,Smooth
16,14,M4e14,CHARACTERIZATION OF MASS:  MARGIN,List,2,Irregular
16,14,M4e14,CHARACTERIZATION OF MASS:  MARGIN,List,3,Spiculated
17,15,M4e15,INTERNAL ENHANCEMENT,List,1,Homogeneous
17,15,M4e15,INTERNAL ENHANCEMENT,List,2,Heterogeneous
17,15,M4e15,INTERNAL ENHANCEMENT,List,3,Rim enhanced
17,15,M4e15,INTERNAL ENHANCEMENT,List,4,Dark internal septation(s)
17,15,M4e15,INTERNAL ENHANCEMENT,List,5,Enhanced internal septation(s)
17,15,M4e15,INTERNAL ENHANCEMENT,List,6,Central internal enhancement
18,16,M4e16,DEGREE OF ENHANCEMENT,List,1,Minimal
18,16,M4e16,DEGREE OF ENHANCEMENT,List,2,Moderate
18,16,M4e16,DEGREE OF ENHANCEMENT,List,3,Marked
19,17,M4e17,TYPE OF NON-MASS ENHANCEMENT,List,1,Focal area
19,17,M4e17,TYPE OF NON-MASS ENHANCEMENT,List,2,Linear
19,17,M4e17,TYPE OF NON-MASS ENHANCEMENT,List,3,Ductal
19,17,M4e17,TYPE OF NON-MASS ENHANCEMENT,List,4,Segmental
19,17,M4e17,TYPE OF NON-MASS ENHANCEMENT,List,5,Regional
19,17,M4e17,TYPE OF NON-MASS ENHANCEMENT,List,6,Multiple regions
19,17,M4e17,TYPE OF NON-MASS ENHANCEMENT,List,7,Diffuse
20,18,M4e18,NON-MASS ENHANCEMENT SYMMETRY,List,0,Not applicable
20,18,M4e18,NON-MASS ENHANCEMENT SYMMETRY,List,1,Symmetric
20,18,M4e18,NON-MASS ENHANCEMENT SYMMETRY,List,2,Asymmetric
21,19,M4e19,NON-MASS ENHANCEMENT INTERNAL CHARACTERISTICS,List,1,Homogeneous
21,19,M4e19,NON-MASS ENHANCEMENT INTERNAL CHARACTERISTICS,List,2,Heterogeneous
21,19,M4e19,NON-MASS ENHANCEMENT INTERNAL CHARACTERISTICS,List,3,Stippled/punctate
21,19,M4e19,NON-MASS ENHANCEMENT INTERNAL CHARACTERISTICS,List,4,Clumped
