Col_num,ques_seq_no,field_name,ques_desc,data_type,resp_seq_no,resp_desc
1,1,P8e1,DATE OF PROCEDURE,YYYY,,best4.
2,1,P8e1d,Days from Base_dt to DATE OF PROCEDURE,#,,best8.
3,5,P8e5,SIZE OF LESION: X DIMENSION,#,,BEST32.
4,6,P8e6,SIZE OF LESION: Y DIMENSION,#,,BEST32.
5,7,P8e7,SIZE OF LESION: Z DIMENSION,#,,BEST32.
6,11,P8e11,T CLASSIFICATION / PATHOLOGIC,List,0,T0
6,11,P8e11,T CLASSIFICATION / PATHOLOGIC,List,1,T1
6,11,P8e11,T CLASSIFICATION / PATHOLOGIC,List,2,T2
6,11,P8e11,T CLASSIFICATION / PATHOLOGIC,List,3,T3
6,11,P8e11,T CLASSIFICATION / PATHOLOGIC,List,4,T4
6,11,P8e11,T CLASSIFICATION / PATHOLOGIC,List,5,TIS
6,11,P8e11,T CLASSIFICATION / PATHOLOGIC,List,9,Tx
7,12,P8e12,N STAGE / PATHOLOGIC,List,0,N0
7,12,P8e12,N STAGE / PATHOLOGIC,List,1,N1
7,12,P8e12,N STAGE / PATHOLOGIC,List,2,N2
7,12,P8e12,N STAGE / PATHOLOGIC,List,3,N3
7,12,P8e12,N STAGE / PATHOLOGIC,List,9,NX
8,13,P8e13,M STAGE / PATHOLOGIC,List,0,M0
8,13,P8e13,M STAGE / PATHOLOGIC,List,1,M1
8,13,P8e13,M STAGE / PATHOLOGIC,List,9,MX
9,14,P8e14,LOCATION OF LESION,List,1,Nipple
9,14,P8e14,LOCATION OF LESION,List,2,Central portion
9,14,P8e14,LOCATION OF LESION,List,3,Upper inner quadrant
9,14,P8e14,LOCATION OF LESION,List,4,Lower inner quadrant
9,14,P8e14,LOCATION OF LESION,List,5,Upper outer quadrant
9,14,P8e14,LOCATION OF LESION,List,6,Lower outer quadrant
9,14,P8e14,LOCATION OF LESION,List,7,Axillary tail
9,14,P8e14,LOCATION OF LESION,List,8,"Breast, NOS"
9,14,P8e14,LOCATION OF LESION,List,10,Other
9,14,P8e14,LOCATION OF LESION,List,11,Subareolar
10,15,P8e15,SPECIFY LOCATION,Char(80),,$F200.
11,27,P8e27,HISTOLOGY OF INDEX LESION,List,1,Benign
11,27,P8e27,HISTOLOGY OF INDEX LESION,List,2,Atypical
11,27,P8e27,HISTOLOGY OF INDEX LESION,List,3,In situ carcinoma
11,27,P8e27,HISTOLOGY OF INDEX LESION,List,4,Invasive carcinoma
12,28,P8e28,TYPES OF BENIGN HISTOLOGY,List,10,"Benign, non-proliferative"
12,28,P8e28,TYPES OF BENIGN HISTOLOGY,List,11,"Benign, proliferative, NOS"
12,28,P8e28,TYPES OF BENIGN HISTOLOGY,List,12,Fibroadenoma
12,28,P8e28,TYPES OF BENIGN HISTOLOGY,List,13,Radial scar
12,28,P8e28,TYPES OF BENIGN HISTOLOGY,List,14,"Other, specify"
13,29,P8e29,SPECIFY OTHER BENIGN HISTOLOGY TYPE / INDEX LESION,Char(80),,$F200.
14,30,P8e30,TYPES OF ATYPIA,List,20,Atypical ductal hyperplasia
14,30,P8e30,TYPES OF ATYPIA,List,21,Atypical lobular hyperplasia
15,31,P8e31,TYPES OF IN SITU CARCINOMA,List,30,Lobular carcinoma in situ
15,31,P8e31,TYPES OF IN SITU CARCINOMA,List,31,Ductal  carcinoma in situ
15,31,P8e31,TYPES OF IN SITU CARCINOMA,List,32,In situ ca; ductal and lobular features
16,32,P8e32,TYPES OF INVASIVE CARCINOMA,List,40,Infiltrating ductal carcinoma NOS
16,32,P8e32,TYPES OF INVASIVE CARCINOMA,List,41,Infiltrating lobular carcinoma
16,32,P8e32,TYPES OF INVASIVE CARCINOMA,List,42,Infiltrating ca; ductal/lobular features
16,32,P8e32,TYPES OF INVASIVE CARCINOMA,List,43,Tubular carcinoma
16,32,P8e32,TYPES OF INVASIVE CARCINOMA,List,44,Mucinous carcinoma
16,32,P8e32,TYPES OF INVASIVE CARCINOMA,List,45,Medullary carcinoma
16,32,P8e32,TYPES OF INVASIVE CARCINOMA,List,46,Other invasive histology type
17,33,P8e33,SPECIFY OTHER INVASIVE HISTOLOGY TYPE / INDEX LESION,Char(80),,$F200.
18,34,P8e34,GRADE OF INVASIVE CA,List,0,Not applicable
18,34,P8e34,GRADE OF INVASIVE CA,List,1,I
18,34,P8e34,GRADE OF INVASIVE CA,List,2,II
18,34,P8e34,GRADE OF INVASIVE CA,List,3,III
18,34,P8e34,GRADE OF INVASIVE CA,List,9,Unknown
19,35,P8e35,GRADE OF DCIS,List,0,Not applicable
19,35,P8e35,GRADE OF DCIS,List,1,Well differentiated
19,35,P8e35,GRADE OF DCIS,List,2,Intermediately differentiated
19,35,P8e35,GRADE OF DCIS,List,3,Poorly differentiated
19,35,P8e35,GRADE OF DCIS,List,9,Unknown
20,36,P8e36,DCIS PATTERNS,List,0,Not applicable
20,36,P8e36,DCIS PATTERNS,List,1,No
20,36,P8e36,DCIS PATTERNS,List,2,Yes
20,36,P8e36,DCIS PATTERNS,List,9,Unknown
21,37,P8e37,LARGE AREAS OF NECROSIS (COMEDO),List,0,Not applicable
21,37,P8e37,LARGE AREAS OF NECROSIS (COMEDO),List,1,No
21,37,P8e37,LARGE AREAS OF NECROSIS (COMEDO),List,2,Yes
21,37,P8e37,LARGE AREAS OF NECROSIS (COMEDO),List,9,Unknown
22,38,P8e38,SMALL AREAS OF NECROSIS,List,0,Not applicable
22,38,P8e38,SMALL AREAS OF NECROSIS,List,1,No
22,38,P8e38,SMALL AREAS OF NECROSIS,List,2,Yes
22,38,P8e38,SMALL AREAS OF NECROSIS,List,9,Unknown
23,39,P8e39,CRIBRIFORM,List,0,Not applicable
23,39,P8e39,CRIBRIFORM,List,1,No
23,39,P8e39,CRIBRIFORM,List,2,Yes
23,39,P8e39,CRIBRIFORM,List,9,Unknown
24,40,P8e40,SOLID,List,0,Not applicable
24,40,P8e40,SOLID,List,1,No
24,40,P8e40,SOLID,List,2,Yes
24,40,P8e40,SOLID,List,9,Unknown
25,41,P8e41,MICROPAPILLARY,List,0,Not applicable
25,41,P8e41,MICROPAPILLARY,List,1,No
25,41,P8e41,MICROPAPILLARY,List,2,Yes
25,41,P8e41,MICROPAPILLARY,List,9,Unknown
26,42,P8e42,PAPILLARY,List,0,Not applicable
26,42,P8e42,PAPILLARY,List,1,No
26,42,P8e42,PAPILLARY,List,2,Yes
26,42,P8e42,PAPILLARY,List,9,Unknown
27,43,P8e43,MOST DOMINANT DCIS PATTERN,List,9,Unknown
27,43,P8e43,MOST DOMINANT DCIS PATTERN,List,10,Large areas of necrosis (comedo)
27,43,P8e43,MOST DOMINANT DCIS PATTERN,List,11,Small areas of necrosis
27,43,P8e43,MOST DOMINANT DCIS PATTERN,List,12,Cribriform
27,43,P8e43,MOST DOMINANT DCIS PATTERN,List,13,Solid
27,43,P8e43,MOST DOMINANT DCIS PATTERN,List,14,Micropapillary
27,43,P8e43,MOST DOMINANT DCIS PATTERN,List,15,Papillary
28,44,P8e44,EXTENT DCIS WITHIN INVASIVE TUMOR,List,0,Not applicable
28,44,P8e44,EXTENT DCIS WITHIN INVASIVE TUMOR,List,1,Absent
28,44,P8e44,EXTENT DCIS WITHIN INVASIVE TUMOR,List,2,Slight
28,44,P8e44,EXTENT DCIS WITHIN INVASIVE TUMOR,List,3,Moderate
28,44,P8e44,EXTENT DCIS WITHIN INVASIVE TUMOR,List,4,Marked
28,44,P8e44,EXTENT DCIS WITHIN INVASIVE TUMOR,List,9,Unknown
29,45,P8e45,EXTENT DCIS ADJACENT TO INVASIVE TUMOR,List,0,Not applicable
29,45,P8e45,EXTENT DCIS ADJACENT TO INVASIVE TUMOR,List,1,Absent
29,45,P8e45,EXTENT DCIS ADJACENT TO INVASIVE TUMOR,List,2,Slight
29,45,P8e45,EXTENT DCIS ADJACENT TO INVASIVE TUMOR,List,3,Moderate
29,45,P8e45,EXTENT DCIS ADJACENT TO INVASIVE TUMOR,List,4,Marked
29,45,P8e45,EXTENT DCIS ADJACENT TO INVASIVE TUMOR,List,9,Unknown
30,46,P8e46,LYMPHATIC VESSEL INVASION,List,0,Not applicable
30,46,P8e46,LYMPHATIC VESSEL INVASION,List,1,Absent
30,46,P8e46,LYMPHATIC VESSEL INVASION,List,2,Present
30,46,P8e46,LYMPHATIC VESSEL INVASION,List,9,Unknown
31,67,P8e67,DATE FORM COMPLETED (MM/DD/YYYY),YYYY,,best4.
32,67,P8e67d,Days from Base_dt to DATE FORM COMPLETED (MM/DD/YYYY),#,,best8.
33,69,P8e69,WHICH BIOPSY PROCEDURE WAS PERFORMED,List,1,Core needle biopsy
33,69,P8e69,WHICH BIOPSY PROCEDURE WAS PERFORMED,List,2,Needle localization excisional biopsy
33,69,P8e69,WHICH BIOPSY PROCEDURE WAS PERFORMED,List,3,Mastectomy
34,70,Rec,Data Entry Date (Days from base date),#,,best8.
