Col_num,ques_seq_no,field_name,ques_desc,data_type,resp_seq_no,resp_desc
1,1,Pae1,date of procedure,YYYY,,best4.
2,1,Pae1d,Days from Base_dt to date of procedure,#,,best8.
3,2,Pae2,data recorded represents lesion # (nn),#,,BEST32.
4,3,Pae3,tumor size (mm): dimension x (nn),#,,BEST32.
5,4,Pae4,tumor size (mm): dimension y (nn),#,,BEST32.
6,5,Pae5,tumor size (mm): dimension z (nn),#,,BEST32.
7,6,Pae6,t classification / pathologic,List,0,Tx
7,6,Pae6,t classification / pathologic,List,1,T0
7,6,Pae6,t classification / pathologic,List,2,TIS
7,6,Pae6,t classification / pathologic,List,3,T1
7,6,Pae6,t classification / pathologic,List,4,pT1mic
7,6,Pae6,t classification / pathologic,List,5,T1a
7,6,Pae6,t classification / pathologic,List,6,T1b
7,6,Pae6,t classification / pathologic,List,7,T1c
7,6,Pae6,t classification / pathologic,List,8,T2
7,6,Pae6,t classification / pathologic,List,9,T3
7,6,Pae6,t classification / pathologic,List,10,T4
7,6,Pae6,t classification / pathologic,List,11,T4a
7,6,Pae6,t classification / pathologic,List,12,T4b
7,6,Pae6,t classification / pathologic,List,13,T4c
7,6,Pae6,t classification / pathologic,List,14,T4d
8,7,Pae7,n stage / pathologic,List,0,NX
8,7,Pae7,n stage / pathologic,List,1,N0
8,7,Pae7,n stage / pathologic,List,2,N1
8,7,Pae7,n stage / pathologic,List,3,N2
8,7,Pae7,n stage / pathologic,List,4,N2A
8,7,Pae7,n stage / pathologic,List,5,N2B
8,7,Pae7,n stage / pathologic,List,6,N3
8,7,Pae7,n stage / pathologic,List,7,N3a
8,7,Pae7,n stage / pathologic,List,8,N3b
8,7,Pae7,n stage / pathologic,List,9,N3c
9,8,Pae8,m stage / pathologic,List,0,MX
9,8,Pae8,m stage / pathologic,List,1,M0
9,8,Pae8,m stage / pathologic,List,2,M1
10,9,Pae9,site of lesion biopsied,List,1,Right breast
10,9,Pae9,site of lesion biopsied,List,2,Left breast
11,10,Pae10,histology of index lesion,List,1,Benign
11,10,Pae10,histology of index lesion,List,2,Atypical
11,10,Pae10,histology of index lesion,List,3,In situ carcinoma
11,10,Pae10,histology of index lesion,List,4,Invasive carcinoma
12,11,Pae11,types of benign histology,List,10,"Benign, non-proliferative"
12,11,Pae11,types of benign histology,List,11,"Benign, proliferative, NOS"
12,11,Pae11,types of benign histology,List,12,Fibroadenoma
12,11,Pae11,types of benign histology,List,13,Radial scar
12,11,Pae11,types of benign histology,List,14,"Other, specify"
13,12,Pae12,specify other benign histology type / index lesion,Char(80),,$F200.
14,13,Pae13,types of atypia,List,20,Atypical ductal hyperplasia
14,13,Pae13,types of atypia,List,21,Atypical lobular hyperplasia
15,14,Pae14,types of in situ carcinoma,List,30,Lobular carcinoma in situ
15,14,Pae14,types of in situ carcinoma,List,31,Ductal  carcinoma in situ
15,14,Pae14,types of in situ carcinoma,List,32,In situ ca; ductal and lobular features
16,15,Pae15,types of invasive carcinoma,List,40,Infiltrating ductal carcinoma NOS
16,15,Pae15,types of invasive carcinoma,List,41,Infiltrating lobular carcinoma
16,15,Pae15,types of invasive carcinoma,List,42,Infiltrating ca; ductal/lobular features
16,15,Pae15,types of invasive carcinoma,List,43,Tubular carcinoma
16,15,Pae15,types of invasive carcinoma,List,44,Mucinous carcinoma
16,15,Pae15,types of invasive carcinoma,List,45,Medullary carcinoma
16,15,Pae15,types of invasive carcinoma,List,46,"Other, specify"
17,16,Pae16,specify other invasive histology type / index lesion,Char(80),,$F200.
18,17,Pae17,grade of invasive ca,List,1,I
18,17,Pae17,grade of invasive ca,List,2,II
18,17,Pae17,grade of invasive ca,List,3,III
18,17,Pae17,grade of invasive ca,List,98,Not applicable
19,18,Pae18,grade of dcis,List,1,Well differentiated
19,18,Pae18,grade of dcis,List,2,Intermediately differentiated
19,18,Pae18,grade of dcis,List,3,Poorly differentiated
19,18,Pae18,grade of dcis,List,98,Not applicable
20,19,Pae19,dcis patterns,List,1,No
20,19,Pae19,dcis patterns,List,2,Yes
20,19,Pae19,dcis patterns,List,98,Not applicable
21,20,Pae20,large areas of necrosis (comedo),List,1,No
21,20,Pae20,large areas of necrosis (comedo),List,2,Yes
22,21,Pae21,small areas of necrosis,List,1,No
22,21,Pae21,small areas of necrosis,List,2,Yes
23,22,Pae22,cribriform,List,1,No
