Col_num,ques_seq_no,field_name,ques_desc,data_type,resp_seq_no,resp_desc
1,1,Pde1,DATE OF PROCEDURE,YYYY,,best4.
2,1,Pde1d,Days from Base_dt to DATE OF PROCEDURE,#,,best8.
3,2,Pde2,DATA RECORDED REPRESENTS LESION # (NN),#,,BEST32.
4,3,Pde3,TUMOR SIZE (MM): DIMENSION X (NN),#,,BEST32.
5,4,Pde4,TUMOR SIZE (MM): DIMENSION Y (NN),#,,BEST32.
6,5,Pde5,TUMOR SIZE (MM): DIMENSION Z (NN),#,,BEST32.
7,6,Pde6,MAXIMUM DISTANCE OF ENHANCEMENT/LESION FROM NIPPLE,#,,BEST32.
8,7,Pde7,T CLASSIFICATION / PATHOLOGIC,List,0,Tx
8,7,Pde7,T CLASSIFICATION / PATHOLOGIC,List,1,T0
8,7,Pde7,T CLASSIFICATION / PATHOLOGIC,List,2,TIS
8,7,Pde7,T CLASSIFICATION / PATHOLOGIC,List,3,T1
8,7,Pde7,T CLASSIFICATION / PATHOLOGIC,List,4,pT1mic
8,7,Pde7,T CLASSIFICATION / PATHOLOGIC,List,5,T1a
8,7,Pde7,T CLASSIFICATION / PATHOLOGIC,List,6,T1b
8,7,Pde7,T CLASSIFICATION / PATHOLOGIC,List,7,T1c
8,7,Pde7,T CLASSIFICATION / PATHOLOGIC,List,8,T2
8,7,Pde7,T CLASSIFICATION / PATHOLOGIC,List,9,T3
8,7,Pde7,T CLASSIFICATION / PATHOLOGIC,List,10,T4
8,7,Pde7,T CLASSIFICATION / PATHOLOGIC,List,11,T4a
8,7,Pde7,T CLASSIFICATION / PATHOLOGIC,List,12,T4b
8,7,Pde7,T CLASSIFICATION / PATHOLOGIC,List,13,T4c
8,7,Pde7,T CLASSIFICATION / PATHOLOGIC,List,14,T4d
9,8,Pde8,N STAGE / PATHOLOGIC,List,0,NX
9,8,Pde8,N STAGE / PATHOLOGIC,List,1,N0
9,8,Pde8,N STAGE / PATHOLOGIC,List,2,N1
9,8,Pde8,N STAGE / PATHOLOGIC,List,3,N2
9,8,Pde8,N STAGE / PATHOLOGIC,List,4,N2A
9,8,Pde8,N STAGE / PATHOLOGIC,List,5,N2B
9,8,Pde8,N STAGE / PATHOLOGIC,List,6,N3
9,8,Pde8,N STAGE / PATHOLOGIC,List,7,N3a
9,8,Pde8,N STAGE / PATHOLOGIC,List,8,N3b
9,8,Pde8,N STAGE / PATHOLOGIC,List,9,N3c
10,9,Pde9,M STAGE / PATHOLOGIC,List,0,MX
10,9,Pde9,M STAGE / PATHOLOGIC,List,1,M0
10,9,Pde9,M STAGE / PATHOLOGIC,List,2,M1
11,10,Pde10,LOCATION OF LESION,List,1,Nipple
11,10,Pde10,LOCATION OF LESION,List,2,Central portion
11,10,Pde10,LOCATION OF LESION,List,3,Upper inner quadrant
11,10,Pde10,LOCATION OF LESION,List,4,Lower inner quadrant
11,10,Pde10,LOCATION OF LESION,List,5,Upper outer quadrant
11,10,Pde10,LOCATION OF LESION,List,6,Lower outer quadrant
11,10,Pde10,LOCATION OF LESION,List,7,Axillary tail
11,10,Pde10,LOCATION OF LESION,List,8,"Breast, NOS"
11,10,Pde10,LOCATION OF LESION,List,9,Subareolar
11,10,Pde10,LOCATION OF LESION,List,10,Other
12,12,Pde12,SITE OF LESION BIOPSIED,List,1,Right breast
12,12,Pde12,SITE OF LESION BIOPSIED,List,2,Left breast
13,13,Pde13,HISTOLOGY OF ADDITIONAL SPECIMEN,List,1,Benign
13,13,Pde13,HISTOLOGY OF ADDITIONAL SPECIMEN,List,2,Atypical
13,13,Pde13,HISTOLOGY OF ADDITIONAL SPECIMEN,List,3,In situ carcinoma
13,13,Pde13,HISTOLOGY OF ADDITIONAL SPECIMEN,List,4,Invasive carcinoma
14,14,Pde14,TYPES OF BENIGN HISTOLOGY,List,10,"Benign, non-proliferative"
14,14,Pde14,TYPES OF BENIGN HISTOLOGY,List,11,"Benign, proliferative, NOS"
14,14,Pde14,TYPES OF BENIGN HISTOLOGY,List,12,Fibroadenoma
14,14,Pde14,TYPES OF BENIGN HISTOLOGY,List,13,Radial scar
14,14,Pde14,TYPES OF BENIGN HISTOLOGY,List,14,"Other, specify"
15,15,Pde15,SPECIFY OTHER BENIGN HISTOLOGY TYPE /  ADDITIONAL SPECIMEN,Char(80),,$F200.
16,16,Pde16,TYPES OF ATYPIA,List,20,Atypical ductal hyperplasia
16,16,Pde16,TYPES OF ATYPIA,List,21,Atypical lobular hyperplasia
17,17,Pde17,TYPES OF IN SITU CARCINOMA,List,30,Lobular carcinoma in situ
17,17,Pde17,TYPES OF IN SITU CARCINOMA,List,31,Ductal  carcinoma in situ
17,17,Pde17,TYPES OF IN SITU CARCINOMA,List,32,In situ ca; ductal and lobular features
18,18,Pde18,TYPES OF INVASIVE CARCINOMA,List,40,Infiltrating ductal carcinoma NOS
18,18,Pde18,TYPES OF INVASIVE CARCINOMA,List,41,Infiltrating lobular carcinoma
18,18,Pde18,TYPES OF INVASIVE CARCINOMA,List,42,Infiltrating ca; ductal/lobular features
18,18,Pde18,TYPES OF INVASIVE CARCINOMA,List,43,Tubular carcinoma
18,18,Pde18,TYPES OF INVASIVE CARCINOMA,List,44,Mucinous carcinoma
18,18,Pde18,TYPES OF INVASIVE CARCINOMA,List,45,Medullary carcinoma
18,18,Pde18,TYPES OF INVASIVE CARCINOMA,List,46,Other invasive histology type
19,19,Pde19,SPECIFY OTHER INVASIVE HISTOLOGY TYPE / ADDITIONAL SPECIMEN,Char(80),,$F200.
20,20,Pde20,GRADE OF INVASIVE CA,List,1,I
20,20,Pde20,GRADE OF INVASIVE CA,List,2,II
20,20,Pde20,GRADE OF INVASIVE CA,List,3,III
20,20,Pde20,GRADE OF INVASIVE CA,List,98,Not applicable
21,21,Pde21,GRADE OF DCIS,List,1,Well differentiated
21,21,Pde21,GRADE OF DCIS,List,2,Intermediately differentiated
21,21,Pde21,GRADE OF DCIS,List,3,Poorly differentiated
21,21,Pde21,GRADE OF DCIS,List,98,Not applicable
22,22,Pde22,DCIS PATTERNS,List,1,No
22,22,Pde22,DCIS PATTERNS,List,2,Yes
22,22,Pde22,DCIS PATTERNS,List,98,Not applicable
23,23,Pde23,LARGE AREAS OF NECROSIS (COMEDO),List,1,No
23,23,Pde23,LARGE AREAS OF NECROSIS (COMEDO),List,2,Yes
24,24,Pde24,SMALL AREAS OF NECROSIS,List,1,No
24,24,Pde24,SMALL AREAS OF NECROSIS,List,2,Yes
25,25,Pde25,CRIBRIFORM,List,1,No
25,25,Pde25,CRIBRIFORM,List,2,Yes
26,26,Pde26,SOLID,List,1,No
26,26,Pde26,SOLID,List,2,Yes
27,27,Pde27,MICROPAPILLARY,List,1,No
27,27,Pde27,MICROPAPILLARY,List,2,Yes
28,28,Pde28,PAPILLARY,List,1,No
28,28,Pde28,PAPILLARY,List,2,Yes
29,29,Pde29,MOST DOMINANT DCIS PATTERN,List,10,Large areas of necrosis (comedo)
29,29,Pde29,MOST DOMINANT DCIS PATTERN,List,11,Small areas of necrosis
29,29,Pde29,MOST DOMINANT DCIS PATTERN,List,12,Cribriform
29,29,Pde29,MOST DOMINANT DCIS PATTERN,List,13,Solid
29,29,Pde29,MOST DOMINANT DCIS PATTERN,List,14,Micropapillary
29,29,Pde29,MOST DOMINANT DCIS PATTERN,List,15,Papillary
30,30,Pde30,EXTENT DCIS WITHIN INVASIVE TUMOR,List,1,Absent
30,30,Pde30,EXTENT DCIS WITHIN INVASIVE TUMOR,List,2,Slight
30,30,Pde30,EXTENT DCIS WITHIN INVASIVE TUMOR,List,3,Moderate
30,30,Pde30,EXTENT DCIS WITHIN INVASIVE TUMOR,List,4,Marked
30,30,Pde30,EXTENT DCIS WITHIN INVASIVE TUMOR,List,98,Not applicable
31,31,Pde31,EXTENT DCIS ADJACENT TO INVASIVE TUMOR,List,1,Absent
31,31,Pde31,EXTENT DCIS ADJACENT TO INVASIVE TUMOR,List,2,Slight
31,31,Pde31,EXTENT DCIS ADJACENT TO INVASIVE TUMOR,List,3,Moderate
31,31,Pde31,EXTENT DCIS ADJACENT TO INVASIVE TUMOR,List,4,Marked
31,31,Pde31,EXTENT DCIS ADJACENT TO INVASIVE TUMOR,List,98,Not applicable
32,32,Pde32,LYMPHATIC VESSEL INVASION,List,1,Absent
32,32,Pde32,LYMPHATIC VESSEL INVASION,List,2,Present
32,32,Pde32,LYMPHATIC VESSEL INVASION,List,98,Not applicable
33,34,Pde34,DATE FORM COMPLETED (MM/DD/YYYY),YYYY,,best4.
34,34,Pde34d,Days from Base_dt to DATE FORM COMPLETED (MM/DD/YYYY),#,,best8.
35,37,Rec,Data Entry Date (Days from base date),#,,best8.
