Col_num,ques_seq_no,field_name,ques_desc,data_type,resp_seq_no,resp_desc
1,1,Pee1,DATE OF PROCEDURE,YYYY,,best4.
2,1,Pee1d,Days from Base_dt to DATE OF PROCEDURE,#,,best8.
3,2,Pee2,DATA RECORDED REPRESENTS LESION # (NN),#,,BEST32.
4,3,Pee3,SITE OF LESION BIOPSIED,List,1,Right breast
4,3,Pee3,SITE OF LESION BIOPSIED,List,2,Left breast
5,4,Pee4,HISTOLOGY OF INDEX LESION,List,1,Benign
5,4,Pee4,HISTOLOGY OF INDEX LESION,List,2,Atypical
5,4,Pee4,HISTOLOGY OF INDEX LESION,List,3,In situ carcinoma
5,4,Pee4,HISTOLOGY OF INDEX LESION,List,4,Invasive carcinoma
6,5,Pee5,TYPES OF BENIGN HISTOLOGY,List,10,"Benign, non-proliferative"
6,5,Pee5,TYPES OF BENIGN HISTOLOGY,List,11,"Benign, proliferative, NOS"
6,5,Pee5,TYPES OF BENIGN HISTOLOGY,List,12,Fibroadenoma
6,5,Pee5,TYPES OF BENIGN HISTOLOGY,List,13,Radial scar
6,5,Pee5,TYPES OF BENIGN HISTOLOGY,List,14,"Other, specify"
7,6,Pee6,SPECIFY OTHER BENIGN HISTOLOGY TYPE / INDEX LESION,Char(80),,$F200.
8,7,Pee7,TYPES OF ATYPIA,List,20,Atypical ductal hyperplasia
8,7,Pee7,TYPES OF ATYPIA,List,21,Atypical lobular hyperplasia
9,8,Pee8,TYPES OF IN SITU CARCINOMA,List,30,Lobular carcinoma in situ
9,8,Pee8,TYPES OF IN SITU CARCINOMA,List,31,Ductal  carcinoma in situ
9,8,Pee8,TYPES OF IN SITU CARCINOMA,List,32,In situ ca; ductal and lobular features
10,9,Pee9,TYPES OF INVASIVE CARCINOMA,List,40,Infiltrating ductal carcinoma NOS
10,9,Pee9,TYPES OF INVASIVE CARCINOMA,List,41,Infiltrating lobular carcinoma
10,9,Pee9,TYPES OF INVASIVE CARCINOMA,List,42,Infiltrating ca; ductal/lobular features
10,9,Pee9,TYPES OF INVASIVE CARCINOMA,List,43,Tubular carcinoma
10,9,Pee9,TYPES OF INVASIVE CARCINOMA,List,44,Mucinous carcinoma
10,9,Pee9,TYPES OF INVASIVE CARCINOMA,List,45,Medullary carcinoma
10,9,Pee9,TYPES OF INVASIVE CARCINOMA,List,46,"Other, specify"
11,10,Pee10,SPECIFY OTHER INVASIVE HISTOLOGY TYPE / INDEX LESION,Char(80),,$F200.
12,13,Pae13,,List,20,Atypical ductal hyperplasia
12,13,Pae13,,List,21,Atypical lobular hyperplasia
13,13,Pee13,DATE FORM COMPLETED (MM/DD/YYYY),YYYY,,best4.
14,13,Pee13d,Days from Base_dt to DATE FORM COMPLETED (MM/DD/YYYY),#,,best8.
15,15,Rec,Data Entry Date (Days from base date),#,,best8.
